image,rank,sam_score,x0,y0,x1,y1,mask_path,masked_crop_path
image_0.jpg,1,0.8414548635482788,42.05331039428711,114.14962768554688,499.7682800292969,328.4435729980469,outputs/sam\masks\image_0__r1__mask.png,outputs/sam\masked_crops\image_0__r1__crop.png
image_0.jpg,2,0.9749546051025391,42.78352737426758,159.3098907470703,461.6011047363281,211.0154571533203,outputs/sam\masks\image_0__r2__mask.png,outputs/sam\masked_crops\image_0__r2__crop.png
image_0.jpg,3,0.9741108417510986,42.37724685668945,158.37933349609375,462.2799072265625,212.0760040283203,outputs/sam\masks\image_0__r3__mask.png,outputs/sam\masked_crops\image_0__r3__crop.png
image_0.jpg,4,0.839970052242279,43.23382568359375,115.15215301513672,500.1438903808594,327.48931884765625,outputs/sam\masks\image_0__r4__mask.png,outputs/sam\masked_crops\image_0__r4__crop.png
image_1.JPG,1,0.9694316983222961,185.9591827392578,93.933349609375,438.5218811035156,245.15350341796875,outputs/sam\masks\image_1__r1__mask.png,outputs/sam\masked_crops\image_1__r1__crop.png
image_1.JPG,2,0.9696012735366821,186.55841064453125,94.2409210205078,437.8312377929688,243.9429168701172,outputs/sam\masks\image_1__r2__mask.png,outputs/sam\masked_crops\image_1__r2__crop.png
image_1.JPG,3,0.8543005585670471,137.49278259277344,133.73782348632812,177.05360412597656,155.17359924316406,outputs/sam\masks\image_1__r3__mask.png,outputs/sam\masked_crops\image_1__r3__crop.png
image_1.JPG,4,0.8824293613433838,138.00413513183594,134.73614501953125,175.89466857910156,152.8471221923828,outputs/sam\masks\image_1__r4__mask.png,outputs/sam\masked_crops\image_1__r4__crop.png
image_2.jpg,1,0.9519006013870239,71.15097045898438,104.21542358398438,395.08587646484375,280.3396911621094,outputs/sam\masks\image_2__r1__mask.png,outputs/sam\masked_crops\image_2__r1__crop.png
image_2.jpg,2,0.9535274505615234,71.7535629272461,106.13421630859376,390.5043029785156,276.70733642578125,outputs/sam\masks\image_2__r2__mask.png,outputs/sam\masked_crops\image_2__r2__crop.png
image_2.jpg,3,0.9528277516365051,71.85578155517578,105.94142150878906,390.89892578125,279.0815734863281,outputs/sam\masks\image_2__r3__mask.png,outputs/sam\masked_crops\image_2__r3__crop.png
image_2.jpg,4,0.9522973299026489,72.92127990722656,103.2139663696289,395.3678283691406,279.5096435546875,outputs/sam\masks\image_2__r4__mask.png,outputs/sam\masked_crops\image_2__r4__crop.png
image_3.jpg,1,0.9651426672935486,76.81876373291016,58.09749984741211,465.9407653808594,277.00079345703125,outputs/sam\masks\image_3__r1__mask.png,outputs/sam\masked_crops\image_3__r1__crop.png
image_3.jpg,2,0.9650977253913879,76.20697021484375,57.26583862304688,466.3100280761719,274.9524230957031,outputs/sam\masks\image_3__r2__mask.png,outputs/sam\masked_crops\image_3__r2__crop.png
