crop_file,Image_name,crop_file_path,box_num,species,User Classified,Same?,My remarks,common_name,score,top_no,topk_predictions_json
obs_102691691_photo_171703626_box1.jpg,obs_102691691_photo_171703626,/gpfs_common/share03/ftrscape/snair3/wew_notebooks/outputs_crop/obs_102691691_photo_171703626_box1.jpg,1,Egregia menziesii,Egregia menziesii,TRUE,,,0.902306795,1,"[{""species"": ""Egregia menziesii"", ""common_name"": """", ""score"": 0.9023067951202393}, {""species"": ""Analipus japonicus"", ""common_name"": """", ""score"": 0.008449262008070946}, {""species"": ""Hedophyllum sessile"", ""common_name"": """", ""score"": 0.007728790398687124}, {""species"": ""Laminaria sinclairii"", ""common_name"": """", ""score"": 0.00448541808873415}, {""species"": ""Alaria marginata"", ""common_name"": """", ""score"": 0.004215428605675697}]"
obs_102691691_photo_171703626_box1.jpg,obs_102691691_photo_171703626,/gpfs_common/share03/ftrscape/snair3/wew_notebooks/outputs_crop/obs_102691691_photo_171703626_box1.jpg,1,Analipus japonicus,Egregia menziesii,FALSE,,,0.008449262,2,"[{""species"": ""Egregia menziesii"", ""common_name"": """", ""score"": 0.9023067951202393}, {""species"": ""Analipus japonicus"", ""common_name"": """", ""score"": 0.008449262008070946}, {""species"": ""Hedophyllum sessile"", ""common_name"": """", ""score"": 0.007728790398687124}, {""species"": ""Laminaria sinclairii"", ""common_name"": """", ""score"": 0.00448541808873415}, {""species"": ""Alaria marginata"", ""common_name"": """", ""score"": 0.004215428605675697}]"
obs_102691691_photo_171703626_box1.jpg,obs_102691691_photo_171703626,/gpfs_common/share03/ftrscape/snair3/wew_notebooks/outputs_crop/obs_102691691_photo_171703626_box1.jpg,1,Hedophyllum sessile,Egregia menziesii,FALSE,,,0.00772879,3,"[{""species"": ""Egregia menziesii"", ""common_name"": """", ""score"": 0.9023067951202393}, {""species"": ""Analipus japonicus"", ""common_name"": """", ""score"": 0.008449262008070946}, {""species"": ""Hedophyllum sessile"", ""common_name"": """", ""score"": 0.007728790398687124}, {""species"": ""Laminaria sinclairii"", ""common_name"": """", ""score"": 0.00448541808873415}, {""species"": ""Alaria marginata"", ""common_name"": """", ""score"": 0.004215428605675697}]"
obs_102691691_photo_171703626_box1.jpg,obs_102691691_photo_171703626,/gpfs_common/share03/ftrscape/snair3/wew_notebooks/outputs_crop/obs_102691691_photo_171703626_box1.jpg,1,Laminaria sinclairii,Egregia menziesii,FALSE,,,0.004485418,4,"[{""species"": ""Egregia menziesii"", ""common_name"": """", ""score"": 0.9023067951202393}, {""species"": ""Analipus japonicus"", ""common_name"": """", ""score"": 0.008449262008070946}, {""species"": ""Hedophyllum sessile"", ""common_name"": """", ""score"": 0.007728790398687124}, {""species"": ""Laminaria sinclairii"", ""common_name"": """", ""score"": 0.00448541808873415}, {""species"": ""Alaria marginata"", ""common_name"": """", ""score"": 0.004215428605675697}]"
obs_102691691_photo_171703626_box1.jpg,obs_102691691_photo_171703626,/gpfs_common/share03/ftrscape/snair3/wew_notebooks/outputs_crop/obs_102691691_photo_171703626_box1.jpg,1,Alaria marginata,Egregia menziesii,FALSE,,,0.004215429,5,"[{""species"": ""Egregia menziesii"", ""common_name"": """", ""score"": 0.9023067951202393}, {""species"": ""Analipus japonicus"", ""common_name"": """", ""score"": 0.008449262008070946}, {""species"": ""Hedophyllum sessile"", ""common_name"": """", ""score"": 0.007728790398687124}, {""species"": ""Laminaria sinclairii"", ""common_name"": """", ""score"": 0.00448541808873415}, {""species"": ""Alaria marginata"", ""common_name"": """", ""score"": 0.004215428605675697}]"
obs_102691691_photo_171703626_box2.jpg,obs_102691691_photo_171703626,/gpfs_common/share03/ftrscape/snair3/wew_notebooks/outputs_crop/obs_102691691_photo_171703626_box2.jpg,2,Egregia menziesii,Egregia menziesii,TRUE,,,0.794073701,1,"[{""species"": ""Egregia menziesii"", ""common_name"": """", ""score"": 0.7940737009048462}, {""species"": ""Marginariella urvilliana"", ""common_name"": """", ""score"": 0.04526236653327942}, {""species"": ""Marginariella boryana"", ""common_name"": """", ""score"": 0.03756965324282646}, {""species"": ""Alaria marginata"", ""common_name"": """", ""score"": 0.023320233449339867}, {""species"": ""Alaria praelonga"", ""common_name"": """", ""score"": 0.01121489517390728}]"
obs_102691691_photo_171703626_box2.jpg,obs_102691691_photo_171703626,/gpfs_common/share03/ftrscape/snair3/wew_notebooks/outputs_crop/obs_102691691_photo_171703626_box2.jpg,2,Marginariella urvilliana,Egregia menziesii,FALSE,,,0.045262367,2,"[{""species"": ""Egregia menziesii"", ""common_name"": """", ""score"": 0.7940737009048462}, {""species"": ""Marginariella urvilliana"", ""common_name"": """", ""score"": 0.04526236653327942}, {""species"": ""Marginariella boryana"", ""common_name"": """", ""score"": 0.03756965324282646}, {""species"": ""Alaria marginata"", ""common_name"": """", ""score"": 0.023320233449339867}, {""species"": ""Alaria praelonga"", ""common_name"": """", ""score"": 0.01121489517390728}]"
obs_102691691_photo_171703626_box2.jpg,obs_102691691_photo_171703626,/gpfs_common/share03/ftrscape/snair3/wew_notebooks/outputs_crop/obs_102691691_photo_171703626_box2.jpg,2,Marginariella boryana,Egregia menziesii,FALSE,,,0.037569653,3,"[{""species"": ""Egregia menziesii"", ""common_name"": """", ""score"": 0.7940737009048462}, {""species"": ""Marginariella urvilliana"", ""common_name"": """", ""score"": 0.04526236653327942}, {""species"": ""Marginariella boryana"", ""common_name"": """", ""score"": 0.03756965324282646}, {""species"": ""Alaria marginata"", ""common_name"": """", ""score"": 0.023320233449339867}, {""species"": ""Alaria praelonga"", ""common_name"": """", ""score"": 0.01121489517390728}]"
obs_102691691_photo_171703626_box2.jpg,obs_102691691_photo_171703626,/gpfs_common/share03/ftrscape/snair3/wew_notebooks/outputs_crop/obs_102691691_photo_171703626_box2.jpg,2,Alaria marginata,Egregia menziesii,FALSE,,,0.023320233,4,"[{""species"": ""Egregia menziesii"", ""common_name"": """", ""score"": 0.7940737009048462}, {""species"": ""Marginariella urvilliana"", ""common_name"": """", ""score"": 0.04526236653327942}, {""species"": ""Marginariella boryana"", ""common_name"": """", ""score"": 0.03756965324282646}, {""species"": ""Alaria marginata"", ""common_name"": """", ""score"": 0.023320233449339867}, {""species"": ""Alaria praelonga"", ""common_name"": """", ""score"": 0.01121489517390728}]"
obs_102691691_photo_171703626_box2.jpg,obs_102691691_photo_171703626,/gpfs_common/share03/ftrscape/snair3/wew_notebooks/outputs_crop/obs_102691691_photo_171703626_box2.jpg,2,Alaria praelonga,Egregia menziesii,FALSE,,,0.011214895,5,"[{""species"": ""Egregia menziesii"", ""common_name"": """", ""score"": 0.7940737009048462}, {""species"": ""Marginariella urvilliana"", ""common_name"": """", ""score"": 0.04526236653327942}, {""species"": ""Marginariella boryana"", ""common_name"": """", ""score"": 0.03756965324282646}, {""species"": ""Alaria marginata"", ""common_name"": """", ""score"": 0.023320233449339867}, {""species"": ""Alaria praelonga"", ""common_name"": """", ""score"": 0.01121489517390728}]"
