image_id,image_path
obs_341194952_photo_621071156,/rs1/researchers/a/amallav/image_dataset/obs_341194952_photo_621071156.jpg
obs_341194952_photo_621071168,/rs1/researchers/a/amallav/image_dataset/obs_341194952_photo_621071168.jpg
obs_341194952_photo_621071177,/rs1/researchers/a/amallav/image_dataset/obs_341194952_photo_621071177.jpg
obs_341194952_photo_621071190,/rs1/researchers/a/amallav/image_dataset/obs_341194952_photo_621071190.jpg
obs_341194952_photo_621071213,/rs1/researchers/a/amallav/image_dataset/obs_341194952_photo_621071213.jpg
obs_341067936_photo_620805844,/rs1/researchers/a/amallav/image_dataset/obs_341067936_photo_620805844.jpg
obs_341067936_photo_620805858,/rs1/researchers/a/amallav/image_dataset/obs_341067936_photo_620805858.jpg
obs_341067936_photo_620805991,/rs1/researchers/a/amallav/image_dataset/obs_341067936_photo_620805991.jpg
obs_341060278_photo_547585371,/rs1/researchers/a/amallav/image_dataset/obs_341060278_photo_547585371.jpg
obs_341060278_photo_547585422,/rs1/researchers/a/amallav/image_dataset/obs_341060278_photo_547585422.jpg
obs_341060278_photo_547585471,/rs1/researchers/a/amallav/image_dataset/obs_341060278_photo_547585471.jpg
obs_341060248_photo_547586114,/rs1/researchers/a/amallav/image_dataset/obs_341060248_photo_547586114.jpg
obs_341011035_photo_620687628,/rs1/researchers/a/amallav/image_dataset/obs_341011035_photo_620687628.jpg
obs_341011035_photo_620687643,/rs1/researchers/a/amallav/image_dataset/obs_341011035_photo_620687643.jpg
obs_341011035_photo_620687668,/rs1/researchers/a/amallav/image_dataset/obs_341011035_photo_620687668.jpg
obs_341011035_photo_620687694,/rs1/researchers/a/amallav/image_dataset/obs_341011035_photo_620687694.jpg
obs_341011035_photo_620688018,/rs1/researchers/a/amallav/image_dataset/obs_341011035_photo_620688018.jpg
obs_341011035_photo_620688038,/rs1/researchers/a/amallav/image_dataset/obs_341011035_photo_620688038.jpg
obs_340891948_photo_620443274,/rs1/researchers/a/amallav/image_dataset/obs_340891948_photo_620443274.jpg
obs_340848746_photo_620355031,/rs1/researchers/a/amallav/image_dataset/obs_340848746_photo_620355031.jpg
obs_340848514_photo_620354575,/rs1/researchers/a/amallav/image_dataset/obs_340848514_photo_620354575.jpg
obs_340848514_photo_620354582,/rs1/researchers/a/amallav/image_dataset/obs_340848514_photo_620354582.jpg
obs_340848497_photo_620354560,/rs1/researchers/a/amallav/image_dataset/obs_340848497_photo_620354560.jpg
obs_340825934_photo_620308797,/rs1/researchers/a/amallav/image_dataset/obs_340825934_photo_620308797.jpg
obs_340825934_photo_620308839,/rs1/researchers/a/amallav/image_dataset/obs_340825934_photo_620308839.jpg
obs_340722577_photo_620095837,/rs1/researchers/a/amallav/image_dataset/obs_340722577_photo_620095837.jpg
obs_340722576_photo_620095839,/rs1/researchers/a/amallav/image_dataset/obs_340722576_photo_620095839.jpg
obs_340542613_photo_619737737,/rs1/researchers/a/amallav/image_dataset/obs_340542613_photo_619737737.jpg
obs_340542613_photo_619737740,/rs1/researchers/a/amallav/image_dataset/obs_340542613_photo_619737740.jpg
obs_340542613_photo_619737753,/rs1/researchers/a/amallav/image_dataset/obs_340542613_photo_619737753.jpg
obs_340542613_photo_619737767,/rs1/researchers/a/amallav/image_dataset/obs_340542613_photo_619737767.jpg
obs_340542613_photo_619737775,/rs1/researchers/a/amallav/image_dataset/obs_340542613_photo_619737775.jpg
obs_340542613_photo_619737804,/rs1/researchers/a/amallav/image_dataset/obs_340542613_photo_619737804.jpg
obs_340542613_photo_619737829,/rs1/researchers/a/amallav/image_dataset/obs_340542613_photo_619737829.jpg
obs_340514310_photo_619679014,/rs1/researchers/a/amallav/image_dataset/obs_340514310_photo_619679014.jpg
obs_340514310_photo_619679035,/rs1/researchers/a/amallav/image_dataset/obs_340514310_photo_619679035.jpg
obs_340514310_photo_619679050,/rs1/researchers/a/amallav/image_dataset/obs_340514310_photo_619679050.jpg
obs_340514309_photo_619678757,/rs1/researchers/a/amallav/image_dataset/obs_340514309_photo_619678757.jpg
obs_340514309_photo_619678812,/rs1/researchers/a/amallav/image_dataset/obs_340514309_photo_619678812.jpg
obs_340514309_photo_619678833,/rs1/researchers/a/amallav/image_dataset/obs_340514309_photo_619678833.jpg
obs_340514309_photo_619678863,/rs1/researchers/a/amallav/image_dataset/obs_340514309_photo_619678863.jpg
obs_340514309_photo_619678889,/rs1/researchers/a/amallav/image_dataset/obs_340514309_photo_619678889.jpg
obs_340514309_photo_619678934,/rs1/researchers/a/amallav/image_dataset/obs_340514309_photo_619678934.jpg
obs_340433312_photo_619519266,/rs1/researchers/a/amallav/image_dataset/obs_340433312_photo_619519266.jpg
obs_340394115_photo_619968851,/rs1/researchers/a/amallav/image_dataset/obs_340394115_photo_619968851.jpg
obs_340368188_photo_619383348,/rs1/researchers/a/amallav/image_dataset/obs_340368188_photo_619383348.jpg
obs_340368188_photo_619383374,/rs1/researchers/a/amallav/image_dataset/obs_340368188_photo_619383374.jpg
obs_340364592_photo_619375042,/rs1/researchers/a/amallav/image_dataset/obs_340364592_photo_619375042.jpg
obs_340337865_photo_533753896,/rs1/researchers/a/amallav/image_dataset/obs_340337865_photo_533753896.jpg
obs_340337865_photo_533753923,/rs1/researchers/a/amallav/image_dataset/obs_340337865_photo_533753923.jpg
obs_340337865_photo_533753939,/rs1/researchers/a/amallav/image_dataset/obs_340337865_photo_533753939.jpg
obs_340337296_photo_536341964,/rs1/researchers/a/amallav/image_dataset/obs_340337296_photo_536341964.jpg
obs_340326194_photo_619295158,/rs1/researchers/a/amallav/image_dataset/obs_340326194_photo_619295158.jpg
obs_340326194_photo_619295139,/rs1/researchers/a/amallav/image_dataset/obs_340326194_photo_619295139.jpg
obs_340326194_photo_619295155,/rs1/researchers/a/amallav/image_dataset/obs_340326194_photo_619295155.jpg
obs_340326193_photo_619295159,/rs1/researchers/a/amallav/image_dataset/obs_340326193_photo_619295159.jpg
obs_340304697_photo_619256274,/rs1/researchers/a/amallav/image_dataset/obs_340304697_photo_619256274.jpg
obs_340304697_photo_619256243,/rs1/researchers/a/amallav/image_dataset/obs_340304697_photo_619256243.jpg
obs_340304697_photo_619256316,/rs1/researchers/a/amallav/image_dataset/obs_340304697_photo_619256316.jpg
obs_340271239_photo_619190263,/rs1/researchers/a/amallav/image_dataset/obs_340271239_photo_619190263.jpg
obs_340271239_photo_619190267,/rs1/researchers/a/amallav/image_dataset/obs_340271239_photo_619190267.jpg
obs_340271239_photo_619190268,/rs1/researchers/a/amallav/image_dataset/obs_340271239_photo_619190268.jpg
